price,tag_seller,tag_condition,storage_gb,neverlock,loan,installment_loan,guarantee,color_black,color_rose,color_gold,color_silver,color_red,chargin_adapter,wire,box,case,glass,earphones,discount,time_exec_pub,time_seller_reg,y_pred
5899.0,1,0,32,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.0,1608.0,4771.156085492757
5594.86,1,0,32,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,2.0,1669.0,4771.156085492757
6290.0,1,0,32,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17.0,2673.0,4771.156085492757
6190.0,1,0,32,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,17.0,2216.0,4771.156085492757
6367.49,1,0,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1424.0,4771.156085492757
4529.17,1,0,32,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,7.0,1697.0,4771.156085492757
4768.95,1,0,128,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1424.0,4771.156085492757
4200.0,1,0,32,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.0,2094.0,4771.156085492757
4500.0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,2400.0,4771.156085492757
4490.0,1,0,32,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2520.0,4771.156085492757
4236.11,1,0,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1424.0,4771.156085492757
3800.0,1,0,32,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17.0,3250.0,4771.156085492757
3999.0,1,0,32,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,3830.0,4771.156085492757
4499.0,1,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2520.0,4771.156085492757
3990.0,1,0,32,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0,2490.0,4771.156085492757
4450.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17.0,2673.0,4771.156085492757
6400.0,1,0,128,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1212.0,4771.156085492757
3863.12,1,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1455.0,4771.156085492757
3900.0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1728.0,4771.156085492757
6200.0,1,0,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0,1728.0,4771.156085492757
6000.0,1,0,32,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2.0,1728.0,4771.156085492757
3700.0,1,0,32,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0,2369.0,4771.156085492757
6660.55,1,0,128,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2.0,3495.0,4771.156085492757
4129.54,1,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1212.0,4771.156085492757
6500.0,1,0,32,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,2.0,2186.0,4771.156085492757
6995.0,1,1,32,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1.0,1728.0,4771.156085492757
4200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,2278.0,4771.156085492757
3759.0,1,0,32,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1.0,1120.0,4771.156085492757
